id,Question,Categories,answer_a,answer_b,answer_c,answer_d,correct_answer,explanation
258C,how many kinds of cross wrist grasps are there? what are they?,[technical],,,,,,
258D,what is shite's angle relative to uke in shiho nage?,[technical],,,,,,
258E,what does soke and kancho mean? what is the difference?,[technical],A leader and a follower,A master and a pupil,A father and an uncle,A founder and an administrator,D - A founder and an administrator,"A soke is the founder of an art. In Yoshinkan Aikido, Soke is (and always will be) Gozo Shioda. A Kancho is the current head of the organization or the administrator of the martial art. This can change over time. Bonus: a ""dojo cho"" is the head of one specific school or dojo."
258F,where do we look when bowing (with and without partner)?,[technical],,,,,,
258G,where do we look when in kamae with partner?,[technical],,,,,,
258H,what is the angle of your feet in kamae? what is your weight distribution?,[technical],45 deg & 50/50,45 deg & 60/40,70 deg & 80/20,20 deg & 40/60,B - 45 deg & 60/40,"In kamae, the aikidoka should have their feet angled outward (away from their center line) at 45 degrees each. Their weight distribution should be 60% of their weight on their front leg and 40% of their weight on their back leg."
258I,"when doing grabbing techniques, sometimes we leave the hand on and sometimes we take it off. why?",[technical],Because we do,Elbow not in center,Wrist higher than elbow,ody lower than center,B - Elbow not in center,"For some grabbing techniques (sode mochi, mune mochi) shite cannot always get uke's elbow into their center. This may be because of flexibility issues or other issues. In the cases where shite cannot get uke's elbow completely into their center (and thus not establish complete control over uke), we leave the grab on. "
258J,how many kinds of bows are there? what are they?,[technical],2,3,4,6,B - 3,"There are three types of bows we practice. 1. tachi rei or standing bow, 2. seiza rei or seiza bow, 3. chu rei or middle bow (usually done with one knee up - meant to replicate a bow from a samurai in armor)"
258K,what is san sei no kiai?,"[philosophical, technical]",Three times we move,The voice of the universe,Three Virtues,Three times to kiai,D - Three times to kiai,"San sei no kiai means ""the three times to kiai"". The three times are: 1. to bring yourself up and your opponent down, 2. to finish a movement, 3. to stop a movement from an opponent"
258L,why do we practice techniques from seiza?,[technical],For the sake of tradition,Because it is hard,To replicate ancient Japanese culture,To be dangerous from kneeling and standing,B - Because it is hard,"Although seiza techniques are from Japanese tradition, we do not kneel in modern society. We practice kneeling techniques because they are difficult to do. By taking on difficult challenges, we become stronger and grow our character."
258M,why is there no kamae in seiza?,[technical],,,,,,
258N,why can there be a difference when performing the technique shiho nage?,[technical],Grab vs Strike,Hold vs Submission,Change is good,Uke is larger than shite,A - Grab vs Strike,"In shiho nage from standing (tachi), there is a difference in performing the shiho nage for shite. In grabbing techniques, there is a small pause when bringing uke's hands to shite's forehead. In strike techniques, shite does not pause at the forehead, but moves quickly into the technique."
258O,what is our sword style?,[technical],Swallow Tail Style,Muso Ryu,Yagyu Shinkage Ryu,Heaven and Earth Style,C - Yagyu Shinkage Ryu,"Our sword style is Yagyu Shinkage Ryu. It was invented by Kamizumi Nobutsuna and was originally called ""Shinkage Ryu"". Around 1565 it was passed on to Yagyu Munetoshi who added the ""Yagyu"" to the sword style name."
258P,"for mune mochi hiji ate nage, where is the hand for the starting grip?",[technical],,,,,,
258Q,"for kokyu ho #7, the starting position for this technique is hand on the knees. does shite perform any upward movement with the ankles/feet prior to pivoting for the pin?",[technical],,,,,,
258R,"for #2 basic techniques (not advanced) that start in ai hanmi instead of gyaku hanmi, is that because it is not possible in those types of situations (ex: shomen uchi hiji ate) we need to keep uke in our center line for as much of the technique as possible prior to completing it?",[technical],,,,,,
258S,"for ushiro katate eri mochi style techniques, a punch occurs for releasing the wrist grasp but is it unnecessary in the regular eri mochi techniques?",[technical],,,,,,
258T,why are there no behind techniques from seiza?,[technical],Because Gozo Shioda said so,For the sake of the art,Because it is weird,For the sake of dignity,A - Because Gozo Shioda said so,there should never be a scenario where you let use get behind you. Hanshi Blok asked this question to Gozo Shioda and that was the answer he got. it has not changed. suggestions for overcoming a grab from behind in seiza include standing up.
258U,how many different ways are there to take uke's arm/hand down in ikkajo/ikkyo/first control techniques?,[technical],,,,,,
258V,how many different types of pins are there in hiji shime?,[technical],3,4,7,12,A - 3,"There are 3. The typical ""X"" is made when uke is not holding onto you. When you have control over the back of their hand, it is more of an armlock.  From katate aya gyaku mochi, you will grab uke's wrist and lock their arm while grabbing their wrist."
258W,"with many opponents, where do we look? why?",[technical],,,,,,
258X,who was Gozo Shioda (Shioda Sensei / Shioda Soke)?,"[historical, people]",,,,,,
258Y,who was Shinra Saburo Yoshimitsu?,"[historical, people]",,,,,,
258Z,who was Minamoto No Tametomo (Chinzei Hachiro)?,"[historical, people]",A legendary samurai,A Japanese demi-god,A Chinese demi-god,Miyomoto Musashi's pet goat,A - A legendary samurai,"Minamoto no Tametoro (also referred to as ""Chinzei Hachirō Tametomo"") was a famous samurai in the 12th century. He was knows as a powerful archer, rumored to have sank an entire Taira ship with a single arrow. After the Hogen Rebellion, Tametomo's left arm was injured and he was banished to the island of Oshima. He is documented as the first samurai in history to have committed seppuku."
002590,who was Takeda Sokaku?,"[historical, people]",,,,,,
002591,who was Taisen Deshimaru?,"[historical, people]",,,,,,
002592,who was Kisshomaru Ueshiba?,"[historical, people]",,,,,,
002593,who was Sen No Rikyu?,"[historical, people]",Tea Ceremony Master,Two Sword Master,Famous Caligrapher,One-Armed Samurai,A - Tea Ceremony Master,"Sen No Rikyu was a 16th century (1522 - 1591) tea master. He perfected ""wabi-cha"", the minimalistic tea ceremony that emphasized simplicity, directness and the beauty of imperfection. He opted to use simple, locally produced items for his tea ceremony instead of extravagant items and ingredients. He introduced the ""so-an"", a grass-hut style ceremony that enforced a democratic atmosphere where, regardless of social status, all guests were equal. He was ordered to commit seppuku in 1591 by Toyotomi Hideyoshi."
002594,who was Yagyu Jubei?,"[historical, people]",,,,,,
002595,who was Yagyu Munenori?,"[historical, people]",,,,,,
002596,who was Kami Izumi Ise No Kami?,"[historical, people]",,,,,,
002597,who was Aizu Hyuga No Kami?,"[historical, people]",,,,,,
002598,who was Tokugawa Iyeasu?,"[historical, people]",,,,,,
002599,"who was ""Shiho Nage Sabu Chan""?","[historical, people]",Aikido's Founder,A Great Swordsman in 1200,O-Sensei's Uncle,"""Shiho Nage Sabu Chan""","D - ""Shiho Nage Sabu Chan""","""Shiho Nage Sabu Chan"" was a mentally ill student of Gozo Shioda who only did Shiho Nage techniques, even when instructed to do other techniques. He eventually received the rank of Shodan, but only in using Shiho Nage."
259A,who was Morihei Ueshiba?,"[historical, people]",,,,,,
259B,who was Deguchi Oni Saburo?,"[historical, people]",,,,,,
259C,who was Miyamoto Musashi?,"[historical, people]",,,,,,
259D,who was Muso Gonosuke?,"[historical, people]",,,,,,
259E,who was Prince Minamoto Teijun?,"[historical, people]",,,,,,
259F,who was Hayashizaki Jinsuke?,"[historical, people]",,,,,,
259G,who was Katō Kiyomasa?,"[historical, people]",,,,,,
259H,who was Onono Tofu?,"[historical, people]",,,,,,
259I,who was Tsukahara Bokuden?,"[historical, people]",,,,,,
259J,"who was Matasubayashi Samanosuke (Henyasai - ""The Batman"")?","[historical, people]",,,,,,
259K,who was Hayashida Samon?,"[historical, people]",,,,,,
259L,who was Jigoro Kano?,"[historical, people]",,,,,,
259M,who was Mochizuki Minoru?,"[historical, people]",,,,,,
259N,who was Hanawa Hokichi?,"[historical, people]",,,,,,
259O,who was Okagiri Kudon?,"[historical, people]",,,,,,
259P,who was Yamamoto Tsunetomo?,"[historical, people]",,,,,,
259Q,how many types of punch atemi are there? what does each one do?,[technical],4,3,2,42,B - 3,"We have a back-knuckle punch for distraction, a straight punch (like in kotegaeshi techniques) to force uke to make distance, and an uppercut punch to make uke look up."
259R,how may different ways can you block a side strike? what is the function of each of them?,[technical],4,6,8,12,B - 6,"There are 6 basic types of side strike block. Block high #1 and #2, Block low #1 and #2, Pivot and Block high and low. There are other advanced side strike blocks as well."
259S,how many basic techniques do we have where a side strike is blocked low?,[technical],6,5,4,2,B - 5,"five - shiho nage, hiji ate, sokumen irimi nage, kotegaeshi, irimi tsuki"
259T,Who was Amaterasu (Amateru Kami)?,[philosophical],Goddess of the Sun,Goddess of Wisdom,Gozo Shioda's wife,Goddess of Horses,A - Goddess of the Sun,"Amaterasu or Amateru Kami is the Japanese Goddess of the Sun. From Japanese mythology, another diety, Susanno, threw a dead horse onto one of her looms. In response she sealed herself into a cave, causing total darkness to come over heaven and earth. Omoikane, the God of Wisdom, came up with a plan to lure her out with an eight-sided mirror. This eight-sided mirror is on our aikido crest with a peregrine falcon in the middle, representing Gozo Shioda."
